ids,clsids,w2clsids,schids,fall,subject,match,score,conf,cog,chn1,eng1,mat1,cog1,female,age,only,rural,migrant,medu,fedu,income,tchfemale,tchadvisor,tchexp,tchedu,tchage,tchrank,hrsize,hrfemale,hrage,hronly,hrrural,hrmigrant,hrmedu,hrfedu,hrincome,schadvisor,schexp,schedu,schage,schrank
13076,304,304,79,0,2,0,-1.16149330461798,0.228369060984242,-0.309619009494782,-0.277814483642578,-1.02152900695801,-1.07862167358398,-0.878603994846344,0,12,0,1,0,9,9,1,1,0,27,16,50,2,42,0.414634146341463,12.1219512195122,0.317073170731707,0.51219512195122,0.325,8.73170731707317,9.65853658536585,0.75609756097561,0.4,23.2,16,44.8,2
13077,304,304,79,0,2,1,0.60710219305868,0.228369060984242,-1.11656200885773,-0.379267120361328,-0.333480072021484,-1.03790092468262,-1.04923605918884,1,12,0,1,0,9,9,1,1,0,27,16,50,2,42,0.390243902439024,12.1219512195122,0.317073170731707,0.51219512195122,0.325,8.73170731707317,9.65853658536585,0.75609756097561,0.4,23.2,16,44.8,2
13078,304,304,79,0,2,0,-0.611263594229685,0.228369060984242,-0.482549011707306,-0.0241836547851563,-0.56282958984375,-0.182769012451172,-0.616863012313843,0,12,0,0,1,6,9,1,1,0,27,16,50,2,42,0.414634146341463,12.1219512195122,0.317073170731707,0.536585365853659,0.3,8.80487804878049,9.65853658536585,0.75609756097561,0.4,23.2,16,44.8,2
13079,304,304,79,0,2,0,1.62895736949408,1.61489550267428,-0.0807740017771721,1.59905548095703,1.67332992553711,0.753804016113281,-0.552516996860504,0,12,1,0,0,9,12,1,1,0,27,16,50,2,42,0.414634146341463,12.1219512195122,0.292682926829268,0.536585365853659,0.325,8.73170731707317,9.58536585365854,0.75609756097561,0.4,23.2,16,44.8,2
13080,304,304,79,0,2,0,-0.571961472059092,-1.1581573807058,0.9358029961586,-0.582171630859375,-0.218804931640625,0.794524383544922,0.216306999325752,0,12,0,0,0,9,9,1,1,0,27,16,50,2,42,0.414634146341463,12.1219512195122,0.317073170731707,0.536585365853659,0.325,8.73170731707317,9.65853658536585,0.75609756097561,0.4,23.2,16,44.8,2
13081,304,304,79,0,2,1,-0.218242372523761,0.228369060984242,-0.716602981090546,-0.582171630859375,-1.3082160949707,-1.77087135314941,-1.41690003871918,1,12,0,1,0,9,12,2,1,0,27,16,50,2,42,0.390243902439024,12.1219512195122,0.317073170731707,0.51219512195122,0.325,8.73170731707317,9.58536585365854,0.731707317073171,0.4,23.2,16,44.8,2
13082,304,304,79,0,2,1,1.0394255369352,1.61489550267428,0.379283994436264,0.685983276367188,0.411906433105469,0.590921783447266,-0.545841991901398,1,12,0,1,0,9,9,0,1,0,27,16,50,2,42,0.390243902439024,12.1219512195122,0.317073170731707,0.51219512195122,0.325,8.73170731707317,9.65853658536585,0.780487804878049,0.4,23.2,16,44.8,2
13083,304,304,79,0,2,1,-0.139638128182576,0.228369060984242,0.183739006519318,-0.480719757080078,0.641256713867188,-1.16006278991699,-1.2203860282898,1,12,0,1,1,14,12,1,1,0,27,16,50,2,42,0.390243902439024,12.1219512195122,0.317073170731707,0.51219512195122,0.3,8.60975609756098,9.58536585365854,0.75609756097561,0.4,23.2,16,44.8,2
13084,305,305,79,0,2,1,-0.847076327253239,-1.1581573807058,0.541186988353729,-1.54596977233887,0.153888702392578,-0.589974975585938,-0.9220330119133,0,12,0,0,0,6,6,1,0,0,31,16,52,2,43,0.404761904761905,12.1904761904762,0.452380952380952,0.738095238095238,0.475,8.42857142857143,9.28571428571429,0.833333333333333,0.4,22.4,16,44.4,2
13085,305,305,79,0,2,0,1.23593614778816,0.228369060984242,0.759989976882935,0.685983276367188,1.04261856079102,0.590921783447266,-0.326638996601105,1,12,0,1,1,9,9,1,0,0,31,16,52,2,43,0.380952380952381,12.1904761904762,0.452380952380952,0.714285714285714,0.45,8.35714285714286,9.21428571428571,0.833333333333333,0.4,22.4,16,44.4,2
